,rgn1_nm,r2,coef
weekday화요일12,전라남도,0.677343552,-1.025946319
mean_fee12,전라남도,0.677343552,0.005511627
(Intercept)4,광주광역시,0.665608228,25.5352914
rider_cnt4,광주광역시,0.665608228,-0.028955644
ord_cnt4,광주광역시,0.665608228,0.000738451
weekday목요일4,광주광역시,0.665608228,-0.953935081
weekday수요일4,광주광역시,0.665608228,-1.210724178
weekday월요일4,광주광역시,0.665608228,-1.085322917
weekday일요일4,광주광역시,0.665608228,-1.411017055
weekday토요일4,광주광역시,0.665608228,-0.89902737
weekday화요일4,광주광역시,0.665608228,-1.34007968
mean_fee4,광주광역시,0.665608228,0.001972482
(Intercept)5,대구광역시,0.650892018,28.17509096
rider_cnt5,대구광역시,0.650892018,-0.013676626
ord_cnt5,대구광역시,0.650892018,0.000694541
weekday목요일5,대구광역시,0.650892018,-0.988141891
weekday수요일5,대구광역시,0.650892018,0.223990976
weekday월요일5,대구광역시,0.650892018,0.637540997
weekday일요일5,대구광역시,0.650892018,-2.43992696
weekday토요일5,대구광역시,0.650892018,-1.157436274
weekday화요일5,대구광역시,0.650892018,-0.503134709
mean_fee5,대구광역시,0.650892018,0.000904035
(Intercept)9,세종특별자치시,0.614163786,3.364626618
rider_cnt9,세종특별자치시,0.614163786,-0.007732615
ord_cnt9,세종특별자치시,0.614163786,0.004603549
weekday목요일9,세종특별자치시,0.614163786,-1.480751017
weekday수요일9,세종특별자치시,0.614163786,-0.676497857
weekday월요일9,세종특별자치시,0.614163786,0.017948236
weekday일요일9,세종특별자치시,0.614163786,-0.999104047
weekday토요일9,세종특별자치시,0.614163786,-1.827846768
weekday화요일9,세종특별자치시,0.614163786,-1.335061589
mean_fee9,세종특별자치시,0.614163786,0.004092687
(Intercept)6,대전광역시,0.585815977,12.47028362
rider_cnt6,대전광역시,0.585815977,-0.013957184
ord_cnt6,대전광역시,0.585815977,0.001017223
weekday목요일6,대전광역시,0.585815977,-0.925747198
weekday수요일6,대전광역시,0.585815977,-0.650750797
weekday월요일6,대전광역시,0.585815977,-0.703212657
weekday일요일6,대전광역시,0.585815977,-1.264060841
weekday토요일6,대전광역시,0.585815977,-1.198212983
weekday화요일6,대전광역시,0.585815977,-0.441288773
mean_fee6,대전광역시,0.585815977,0.003053156
(Intercept)14,제주특별자치도,0.559414765,14.2680296
rider_cnt14,제주특별자치도,0.559414765,-0.063659649
ord_cnt14,제주특별자치도,0.559414765,0.001715908
weekday목요일14,제주특별자치도,0.559414765,-0.14650029
weekday수요일14,제주특별자치도,0.559414765,0.291722856
weekday월요일14,제주특별자치도,0.559414765,0.030444155
weekday일요일14,제주특별자치도,0.559414765,-1.195277671
weekday토요일14,제주특별자치도,0.559414765,-0.202730971
