"Group.1","V1","V2","V3","V4","V5"
9,7.80710649136,7.3556746256,8.4882511128,8.7284755344,8.13980399872
10,14.25699378384,12.640236919264,14.80995033616,15.08397257888,13.92377708
11,21.89113406624,19.965053512464,22.16025376704,22.22971522384,21.1517964576
12,26.58154932464,23.244362297008,25.65843808144,25.72070732352,24.34907304416
13,23.42241272976,17.88950636496,23.7013334816,23.85287338688,20.39651308848
14,18.49494024064,14.588229551696,18.8430521928,19.28160474528,16.17567898432
15,19.4181099312,16.264089795216,19.7616296824,20.19498320064,17.81749876528
16,23.32423402768,20.077421201888,23.35489779392,23.61875127872,21.24568540816
17,27.48780459248,23.1176720528,27.15048633872,27.24907257872,24.87611109264
18,26.0344684176,24.11011949328,24.9258367952,24.825897528,24.3422405808
19,26.9366849792,25.86470732208,25.7811927648,25.5963974768,25.5473480016
20,25.96058690368,25.806198390848,24.15517160608,24.20245605648,24.61910012976
21,19.4876792944,19.875879366832,18.5283776,18.29302210592,18.5103622768
22,15.36142281936,16.034278708112,14.67352109424,14.318758428,14.52770697808
23,12.04939371888,12.575735909376,11.66639269456,11.45835357312,11.54993173776
