reg_date,hour_reg,day_of_reg,rain_group,holiday_yn,y_pred_Lasso,y_pred_LGBM,y_pred_RF,y_pred_avg_three,y_pred_avg_lgbm_rf,y_pred_avg_rf_la
2023-06-09,9,금요일,no,0,19.02672522440978,17.345557346743117,18.322397378226487,18.23155998312646,17.833977362484802,18.674561301318136
2023-06-09,10,금요일,no,0,25.323062781611036,22.472735435201443,22.467071478566833,23.420956565126435,22.46990345688414,23.895067130088933
2023-06-09,11,금요일,no,0,30.75106134833804,26.145017496221563,25.24379751546446,27.37995878667469,25.69440750584301,27.997429431901253
2023-06-09,12,금요일,no,0,23.053073002384174,21.439092941262295,21.66172581925424,22.051297254300238,21.550409380258266,22.357399410819205
2023-06-09,13,금요일,no,0,19.84083769909686,18.40758479373728,17.904512020320325,18.717644837718154,18.156048407028802,18.872674859708592
2023-06-09,14,금요일,no,0,15.526330003290601,13.244474323486669,13.546745964033983,14.105850096937084,13.395610143760326,14.536537983662292
2023-06-09,15,금요일,no,0,30.275289999421048,24.935574951363172,26.227203190189975,27.146022713658066,25.581389070776574,28.25124659480551
2023-06-09,16,금요일,no,0,35.81930560463441,28.746071184400883,28.555503738725214,31.0402935092535,28.65078746156305,32.187404671679815
2023-06-09,17,금요일,no,0,30.173820933277362,25.121881134157405,26.287841568769274,27.194514545401347,25.70486135146334,28.230831251023318
2023-06-09,18,금요일,no,0,22.89887878184603,22.152108830599587,22.046449206256103,22.365812272900573,22.099279018427843,22.472663994051068
2023-06-09,19,금요일,no,0,13.292662798799421,14.541366842243727,14.246242742070423,14.026757461037858,14.393804792157075,13.769452770434922
2023-06-09,20,금요일,no,0,13.97826665837023,14.194753377771965,13.467639634351004,13.8802198901644,13.831196506061485,13.722953146360616
2023-06-09,21,금요일,no,0,11.651089307838115,11.358525564291082,10.096067431532072,11.035227434553756,10.727296497911578,10.873578369685093
2023-06-09,22,금요일,no,0,7.1176158768666,6.494188728474852,6.193380286044612,6.6017282971286875,6.343784507259732,6.655498081455606
2023-06-09,23,금요일,no,0,5.1489007084435485,3.9902547864028293,2.959777536117894,4.03297767698809,3.4750161612603616,4.054339122280721
2023-06-08,9,목요일,no,0,9.660800907021562,8.470369453354042,7.7909288425636625,8.64069973431309,8.130649147958852,8.725864874792613
2023-06-08,10,목요일,no,0,29.77406496107718,24.218219092176223,23.864860424918188,25.952381492723863,24.041539758547206,26.819462692997682
2023-06-08,11,목요일,no,0,24.02402400263803,23.018492741729386,21.734077103004644,22.925531282457353,22.376284922367013,22.879050552821337
2023-06-08,12,목요일,no,0,15.517797152184022,17.46152793903312,16.922562622053807,16.63396257109032,17.192045280543464,16.220179887118913
2023-06-08,13,목요일,no,0,13.061272441657481,13.516851432807817,12.054947695702543,12.877690523389282,12.78589956425518,12.558110068680012
2023-06-08,14,목요일,no,0,11.616648178333213,13.457755910477266,11.980044324504645,12.351482804438374,12.718900117490955,11.798346251418929
2023-06-08,15,목요일,no,0,16.83826399568313,18.66652479116063,18.39414629289216,17.966311693245306,18.530335542026393,17.616205144287644
2023-06-08,16,목요일,no,0,14.215763518260117,14.970828968341696,14.865345054019263,14.683979180207025,14.918087011180479,14.54055428613969
2023-06-08,17,목요일,no,0,25.458087375177143,23.34583997341078,22.61833153537582,23.807419627987912,22.9820857543933,24.03820945527648
2023-06-08,18,목요일,no,0,34.81923330753312,28.571441681171606,26.800242484935595,30.063639157880107,27.6858420830536,30.809737896234356
2023-06-08,19,목요일,no,0,31.28817385332905,25.58404247946547,25.78416366745164,27.55212666674872,25.684103073458555,28.536168760390346
2023-06-08,20,목요일,no,0,23.507979465257783,21.659164362552556,21.610555064435193,22.259232964081843,21.634859713493874,22.55926726484649
2023-06-08,21,목요일,no,0,17.09878016776767,18.927826661308984,18.652564377337356,18.226390402138005,18.79019551932317,17.875672272552514
2023-06-08,22,목요일,no,0,4.067141639966058,4.306228253047406,2.259745430382009,3.5443717744651573,3.2829868417147074,3.1634435351740335
2023-06-08,23,목요일,no,0,8.218099917234483,8.318844711188913,6.869630590058406,7.802191739493934,7.5942376506236595,7.543865253646445
2023-06-07,9,수요일,no,0,5.823372074359247,3.00457514531015,3.960148240036771,4.2626984865687225,3.482361692673461,4.891760157198009
2023-06-07,10,수요일,no,0,6.996537364118799,6.616147606822892,6.174800924752201,6.595828631897963,6.395474265787547,6.5856691444355
2023-06-07,11,수요일,no,0,12.22823713585891,11.6114851287794,11.498266706783683,11.779329657140664,11.55487591778154,11.863251921321297
2023-06-07,12,수요일,no,0,15.349612694387293,16.241804260655808,15.850773469841856,15.814063474961651,16.046288865248833,15.600193082114576
2023-06-07,13,수요일,no,0,25.500662237094197,23.18808743203799,22.284026016367115,23.657591895166433,22.73605672420255,23.892344126730656
2023-06-07,14,수요일,no,0,39.24829292328881,29.2500901099726,27.297114521451558,31.931832518237655,28.27360231571208,33.27270372237018
2023-06-07,15,수요일,no,0,22.99636587348939,21.328713934745366,21.275270912560277,21.866783573598344,21.30199242365282,22.135818393024834
2023-06-07,16,수요일,no,0,32.89148209805676,26.72717076581514,27.437873461634787,29.01884210850223,27.082522113724963,30.164677779845775
2023-06-07,17,수요일,no,0,12.686101654274928,12.380606343548239,11.961594639531606,12.342767545784923,12.171100491539923,12.323848146903266
2023-06-07,18,수요일,no,0,13.220700252765333,13.732001236247365,12.18109050671618,13.044597331909626,12.956545871481772,12.700895379740757
2023-06-07,19,수요일,no,0,19.298825083631556,20.623680804442007,20.517989307195144,20.146831731756233,20.570835055818577,19.90840719541335
2023-06-07,20,수요일,no,0,27.009837725478782,24.690226682021486,22.680730945339022,24.79359845094643,23.685478813680255,24.845284335408902
2023-06-07,21,수요일,no,0,28.11292775334732,24.274752799334838,24.821802319809727,25.73649429083063,24.548277559572284,26.467365036578524
2023-06-07,22,수요일,no,0,8.951015499422727,7.97627910992918,7.532055123231094,8.153116577527667,7.754167116580137,8.24153531132691
2023-06-07,23,수요일,no,0,16.881036210781446,16.261062189879063,17.194547614871684,16.778882005177397,16.727804902375375,17.037791912826563
2023-06-05,9,월요일,no,0,18.136194803571748,18.61865482369233,18.85384530353952,18.536231643601198,18.736250063615927,18.495020053555635
2023-06-05,10,월요일,no,0,8.795888630912337,9.209161269797413,9.666905140779841,9.223985013829862,9.438033205288626,9.231396885846088
2023-06-05,11,월요일,no,0,5.709827114067091,4.00937840682377,3.617656344648118,4.445620621846326,3.8135173757359437,4.6637417293576044
2023-06-05,12,월요일,no,0,9.20091870593443,9.0380131163422,8.862993119999212,9.033974980758614,8.950503118170705,9.031955912966822
2023-06-05,13,월요일,no,0,27.31765344107926,23.897871353618644,23.656935591860194,24.957486795519362,23.77740347273942,25.487294516469724
2023-06-05,14,월요일,no,0,26.7731605803736,24.40719292664358,23.40454190559813,24.861631804205103,23.905867416120856,25.088851242985864
2023-06-05,15,월요일,no,0,14.752354673074812,14.935395720980303,15.143108818104363,14.943619737386493,15.039252269542333,14.947731745589588
2023-06-05,16,월요일,no,0,16.27418411395613,14.604359860679672,14.865249704643338,15.247931226426381,14.734804782661506,15.569716909299736
