"holiday_yn","pick_rgn2_nm","rider_cnt","datetime","hour_reg","reg_date","day_of_reg","rain_group","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1","group_s"
"Y","중구",5,2023-01-08 09:00:00,9,2023-01-08,"일요일","no",5,5,5,5,6,"E"
"Y","중구",6,2023-01-08 10:00:00,10,2023-01-08,"일요일","no",3,3,3,3,3,"E"
"Y","중구",26,2023-01-08 11:00:00,11,2023-01-08,"일요일","no",17,17,17,17,22,"E"
"Y","중구",36,2023-01-08 12:00:00,12,2023-01-08,"일요일","no",20,20,20,20,30,"E"
"Y","중구",29,2023-01-08 13:00:00,13,2023-01-08,"일요일","no",20,20,20,20,26,"E"
"Y","중구",21,2023-01-08 14:00:00,14,2023-01-08,"일요일","no",17,17,17,17,26,"E"
"Y","중구",17,2023-01-08 15:00:00,15,2023-01-08,"일요일","no",12,12,12,12,12,"E"
"Y","중구",23,2023-01-08 16:00:00,16,2023-01-08,"일요일","no",19,19,19,19,29,"E"
"Y","중구",24,2023-01-08 17:00:00,17,2023-01-08,"일요일","no",28,28,28,28,42,"E"
"Y","중구",34,2023-01-08 18:00:00,18,2023-01-08,"일요일","no",27,27,27,27,41,"E"
"Y","중구",28,2023-01-08 19:00:00,19,2023-01-08,"일요일","no",25,25,25,25,33,"E"
"Y","중구",22,2023-01-08 20:00:00,20,2023-01-08,"일요일","no",22,22,22,22,31,"E"
"Y","중구",12,2023-01-08 21:00:00,21,2023-01-08,"일요일","no",16,16,16,16,18,"E"
"Y","중구",8,2023-01-08 22:00:00,22,2023-01-08,"일요일","no",12,12,12,12,17,"E"
"Y","중구",5,2023-01-08 23:00:00,23,2023-01-08,"일요일","no",5,5,5,5,8,"E"
"N","중구",3,2023-01-09 09:00:00,9,2023-01-09,"월요일","no",3,3,3,3,3,"A"
"N","중구",10,2023-01-09 10:00:00,10,2023-01-09,"월요일","no",5,5,5,5,6,"A"
"N","중구",24,2023-01-09 11:00:00,11,2023-01-09,"월요일","no",21,21,21,21,33,"A"
"N","중구",21,2023-01-09 12:00:00,12,2023-01-09,"월요일","no",19,19,19,19,24,"A"
"N","중구",16,2023-01-09 13:00:00,13,2023-01-09,"월요일","no",16,16,16,16,21,"A"
"N","중구",12,2023-01-09 14:00:00,14,2023-01-09,"월요일","no",13,13,13,13,14,"A"
"N","중구",10,2023-01-09 15:00:00,15,2023-01-09,"월요일","no",12,12,12,12,14,"A"
"N","중구",11,2023-01-09 16:00:00,16,2023-01-09,"월요일","no",12,12,12,12,14,"A"
"N","중구",20,2023-01-09 17:00:00,17,2023-01-09,"월요일","no",16,16,16,16,19,"A"
"N","중구",27,2023-01-09 18:00:00,18,2023-01-09,"월요일","no",24,24,24,24,30,"A"
"N","중구",27,2023-01-09 19:00:00,19,2023-01-09,"월요일","no",25,25,25,25,34,"A"
"N","중구",19,2023-01-09 20:00:00,20,2023-01-09,"월요일","no",17,17,17,17,22,"A"
"N","중구",16,2023-01-09 21:00:00,21,2023-01-09,"월요일","no",12,12,12,12,17,"A"
"N","중구",8,2023-01-09 22:00:00,22,2023-01-09,"월요일","no",12,12,12,12,15,"A"
"N","중구",5,2023-01-09 23:00:00,23,2023-01-09,"월요일","no",8,8,8,8,8,"A"
"N","중구",1,2023-01-10 09:00:00,9,2023-01-10,"화요일","no",4,4,4,4,7,"A"
"N","중구",2,2023-01-10 10:00:00,10,2023-01-10,"화요일","no",7,7,7,7,8,"A"
"N","중구",20,2023-01-10 11:00:00,11,2023-01-10,"화요일","no",24,24,24,24,33,"A"
"N","중구",18,2023-01-10 12:00:00,12,2023-01-10,"화요일","no",26,26,26,26,35,"A"
"N","중구",10,2023-01-10 13:00:00,13,2023-01-10,"화요일","no",16,16,16,16,22,"A"
"N","중구",11,2023-01-10 14:00:00,14,2023-01-10,"화요일","no",11,11,11,11,14,"A"
"N","중구",9,2023-01-10 15:00:00,15,2023-01-10,"화요일","no",7,7,7,7,9,"A"
"N","중구",14,2023-01-10 16:00:00,16,2023-01-10,"화요일","no",14,14,14,14,16,"A"
"N","중구",13,2023-01-10 17:00:00,17,2023-01-10,"화요일","no",27,27,27,27,34,"A"
"N","중구",28,2023-01-10 18:00:00,18,2023-01-10,"화요일","no",29,29,29,29,41,"A"
"N","중구",27,2023-01-10 19:00:00,19,2023-01-10,"화요일","no",27,27,27,27,39,"A"
"N","중구",24,2023-01-10 20:00:00,20,2023-01-10,"화요일","no",18,18,18,18,20,"A"
"N","중구",16,2023-01-10 21:00:00,21,2023-01-10,"화요일","no",15,15,15,15,17,"A"
"N","중구",11,2023-01-10 22:00:00,22,2023-01-10,"화요일","no",14,14,14,14,20,"A"
"N","중구",7,2023-01-10 23:00:00,23,2023-01-10,"화요일","no",4,4,4,4,4,"A"
"N","중구",1,2023-01-11 09:00:00,9,2023-01-11,"수요일","no",3,3,3,3,4,"A"
"N","중구",9,2023-01-11 10:00:00,10,2023-01-11,"수요일","no",8,8,8,8,9,"A"
"N","중구",27,2023-01-11 11:00:00,11,2023-01-11,"수요일","no",24,24,24,24,36,"A"
"N","중구",23,2023-01-11 12:00:00,12,2023-01-11,"수요일","no",21,21,21,21,24,"A"
"N","중구",18,2023-01-11 13:00:00,13,2023-01-11,"수요일","no",20,20,20,20,23,"A"
"N","중구",15,2023-01-11 14:00:00,14,2023-01-11,"수요일","no",18,18,18,18,20,"A"
"N","중구",9,2023-01-11 15:00:00,15,2023-01-11,"수요일","no",10,10,10,10,13,"A"
"N","중구",9,2023-01-11 16:00:00,16,2023-01-11,"수요일","no",12,12,12,12,15,"A"
"N","중구",17,2023-01-11 17:00:00,17,2023-01-11,"수요일","no",15,15,15,15,22,"A"
"N","중구",31,2023-01-11 18:00:00,18,2023-01-11,"수요일","no",31,31,31,31,39,"A"
"N","중구",22,2023-01-11 19:00:00,19,2023-01-11,"수요일","no",23,23,23,23,31,"A"
"N","중구",15,2023-01-11 20:00:00,20,2023-01-11,"수요일","no",18,18,18,18,21,"A"
"N","중구",13,2023-01-11 21:00:00,21,2023-01-11,"수요일","no",16,16,16,16,20,"A"
"N","중구",10,2023-01-11 22:00:00,22,2023-01-11,"수요일","no",9,9,9,9,10,"A"
"N","중구",4,2023-01-11 23:00:00,23,2023-01-11,"수요일","no",3,3,3,3,7,"A"
"N","중구",4,2023-01-12 09:00:00,9,2023-01-12,"목요일","no",4,4,4,4,4,"A"
"N","중구",5,2023-01-12 10:00:00,10,2023-01-12,"목요일","no",6,6,6,6,6,"A"
"N","중구",26,2023-01-12 11:00:00,11,2023-01-12,"목요일","no",23,23,23,23,34,"A"
"N","중구",24,2023-01-12 12:00:00,12,2023-01-12,"목요일","no",26,26,26,26,33,"A"
"N","중구",14,2023-01-12 13:00:00,13,2023-01-12,"목요일","no",17,17,17,17,23,"A"
"N","중구",12,2023-01-12 14:00:00,14,2023-01-12,"목요일","no",10,10,10,10,14,"A"
"N","중구",14,2023-01-12 15:00:00,15,2023-01-12,"목요일","no",12,12,12,12,16,"A"
"N","중구",8,2023-01-12 16:00:00,16,2023-01-12,"목요일","no",16,16,16,16,20,"A"
"N","중구",16,2023-01-12 17:00:00,17,2023-01-12,"목요일","no",20,20,20,20,29,"A"
"N","중구",36,2023-01-12 18:00:00,18,2023-01-12,"목요일","no",35,35,35,35,49,"A"
"N","중구",23,2023-01-12 19:00:00,19,2023-01-12,"목요일","no",26,26,26,26,37,"A"
"N","중구",20,2023-01-12 20:00:00,20,2023-01-12,"목요일","no",19,19,19,19,29,"A"
"N","중구",12,2023-01-12 21:00:00,21,2023-01-12,"목요일","no",11,11,11,11,18,"A"
"N","중구",8,2023-01-12 22:00:00,22,2023-01-12,"목요일","no",8,8,8,8,12,"A"
"N","중구",8,2023-01-12 23:00:00,23,2023-01-12,"목요일","no",6,6,6,6,9,"A"
"N","중구",5,2023-01-13 09:00:00,9,2023-01-13,"금요일","normal",3,3,3,3,3,"B"
"N","중구",4,2023-01-13 10:00:00,10,2023-01-13,"금요일","no",10,10,10,10,11,"B"
"N","중구",22,2023-01-13 11:00:00,11,2023-01-13,"금요일","no",16,16,16,16,18,"B"
"N","중구",21,2023-01-13 12:00:00,12,2023-01-13,"금요일","normal",26,26,26,26,41,"B"
"N","중구",15,2023-01-13 13:00:00,13,2023-01-13,"금요일","no",11,11,11,11,17,"B"
"N","중구",14,2023-01-13 14:00:00,14,2023-01-13,"금요일","no",13,13,13,13,15,"B"
"N","중구",6,2023-01-13 15:00:00,15,2023-01-13,"금요일","weak",10,10,10,10,12,"B"
"N","중구",8,2023-01-13 16:00:00,16,2023-01-13,"금요일","no",11,11,11,11,16,"B"
"N","중구",13,2023-01-13 17:00:00,17,2023-01-13,"금요일","no",22,22,22,22,31,"B"
"N","중구",37,2023-01-13 18:00:00,18,2023-01-13,"금요일","no",36,36,36,36,55,"B"
"N","중구",18,2023-01-13 19:00:00,19,2023-01-13,"금요일","no",26,26,26,26,34,"B"
"N","중구",28,2023-01-13 20:00:00,20,2023-01-13,"금요일","no",21,21,21,21,32,"B"
"N","중구",16,2023-01-13 21:00:00,21,2023-01-13,"금요일","no",21,21,21,21,27,"B"
"N","중구",15,2023-01-13 22:00:00,22,2023-01-13,"금요일","no",14,14,14,14,17,"B"
"N","중구",7,2023-01-13 23:00:00,23,2023-01-13,"금요일","no",8,8,8,8,13,"B"
"Y","중구",6,2023-01-14 09:00:00,9,2023-01-14,"토요일","no",4,4,4,4,5,"E"
"Y","중구",8,2023-01-14 10:00:00,10,2023-01-14,"토요일","no",7,7,7,7,10,"E"
"Y","중구",16,2023-01-14 11:00:00,11,2023-01-14,"토요일","no",23,23,23,23,26,"E"
"Y","중구",32,2023-01-14 12:00:00,12,2023-01-14,"토요일","no",33,33,33,33,46,"E"
"Y","중구",14,2023-01-14 13:00:00,13,2023-01-14,"토요일","no",19,19,19,19,23,"E"
"Y","중구",19,2023-01-14 14:00:00,14,2023-01-14,"토요일","no",17,17,17,17,26,"E"
"Y","중구",16,2023-01-14 15:00:00,15,2023-01-14,"토요일","no",18,18,18,18,20,"E"
"Y","중구",19,2023-01-14 16:00:00,16,2023-01-14,"토요일","no",16,16,16,16,25,"E"
"Y","중구",27,2023-01-14 17:00:00,17,2023-01-14,"토요일","no",35,35,35,35,49,"E"
"Y","중구",26,2023-01-14 18:00:00,18,2023-01-14,"토요일","no",37,37,37,37,58,"E"
"Y","중구",29,2023-01-14 19:00:00,19,2023-01-14,"토요일","no",32,32,32,32,45,"E"
"Y","중구",22,2023-01-14 20:00:00,20,2023-01-14,"토요일","no",24,24,24,24,31,"E"
"Y","중구",17,2023-01-14 21:00:00,21,2023-01-14,"토요일","no",19,19,19,19,26,"E"
"Y","중구",13,2023-01-14 22:00:00,22,2023-01-14,"토요일","no",13,13,13,13,16,"E"
"Y","중구",10,2023-01-14 23:00:00,23,2023-01-14,"토요일","no",13,13,13,13,17,"E"
"Y","중구",1,2023-01-15 09:00:00,9,2023-01-15,"일요일","no",5,5,5,5,6,"F"
"Y","중구",8,2023-01-15 10:00:00,10,2023-01-15,"일요일","no",6,6,6,6,7,"F"
"Y","중구",24,2023-01-15 11:00:00,11,2023-01-15,"일요일","no",26,26,26,26,36,"F"
"Y","중구",21,2023-01-15 12:00:00,12,2023-01-15,"일요일","weak",36,36,36,36,54,"F"
"Y","중구",16,2023-01-15 13:00:00,13,2023-01-15,"일요일","no",29,29,29,29,42,"F"
"Y","중구",13,2023-01-15 14:00:00,14,2023-01-15,"일요일","no",21,21,21,21,29,"F"
"Y","중구",12,2023-01-15 15:00:00,15,2023-01-15,"일요일","weak",17,17,17,17,24,"F"
"Y","중구",18,2023-01-15 16:00:00,16,2023-01-15,"일요일","no",23,23,23,23,29,"F"
"Y","중구",27,2023-01-15 17:00:00,17,2023-01-15,"일요일","no",24,24,24,24,42,"F"
"Y","중구",27,2023-01-15 18:00:00,18,2023-01-15,"일요일","no",34,34,34,34,49,"F"
"Y","중구",28,2023-01-15 19:00:00,19,2023-01-15,"일요일","no",28,28,28,28,38,"F"
"Y","중구",25,2023-01-15 20:00:00,20,2023-01-15,"일요일","no",22,22,22,22,28,"F"
"Y","중구",16,2023-01-15 21:00:00,21,2023-01-15,"일요일","no",12,12,12,12,16,"F"
"Y","중구",8,2023-01-15 22:00:00,22,2023-01-15,"일요일","no",8,8,8,8,10,"F"
"Y","중구",7,2023-01-15 23:00:00,23,2023-01-15,"일요일","no",5,5,5,5,7,"F"
"N","중구",4,2023-01-16 09:00:00,9,2023-01-16,"월요일","no",3,3,3,3,3,"A"
"N","중구",4,2023-01-16 10:00:00,10,2023-01-16,"월요일","no",10,5,5,5,11,"A"
"N","중구",18,2023-01-16 11:00:00,11,2023-01-16,"월요일","no",24,21,21,21,36,"A"
"N","중구",19,2023-01-16 12:00:00,12,2023-01-16,"월요일","no",21,19,19,19,31,"A"
"N","중구",9,2023-01-16 13:00:00,13,2023-01-16,"월요일","no",16,16,16,16,24,"A"
"N","중구",14,2023-01-16 14:00:00,14,2023-01-16,"월요일","no",12,13,13,13,13,"A"
"N","중구",9,2023-01-16 15:00:00,15,2023-01-16,"월요일","no",10,12,12,12,14,"A"
"N","중구",11,2023-01-16 16:00:00,16,2023-01-16,"월요일","no",11,12,12,12,19,"A"
"N","중구",19,2023-01-16 17:00:00,17,2023-01-16,"월요일","no",20,16,16,16,28,"A"
"N","중구",27,2023-01-16 18:00:00,18,2023-01-16,"월요일","no",27,24,24,24,39,"A"
"N","중구",28,2023-01-16 19:00:00,19,2023-01-16,"월요일","no",27,25,25,25,36,"A"
"N","중구",18,2023-01-16 20:00:00,20,2023-01-16,"월요일","no",19,17,17,17,23,"A"
"N","중구",10,2023-01-16 21:00:00,21,2023-01-16,"월요일","no",16,12,12,12,24,"A"
"N","중구",15,2023-01-16 22:00:00,22,2023-01-16,"월요일","no",8,12,12,12,12,"A"
"N","중구",7,2023-01-16 23:00:00,23,2023-01-16,"월요일","no",5,8,8,8,6,"A"
"N","중구",2,2023-01-17 09:00:00,9,2023-01-17,"화요일","no",1,4,4,4,1,"A"
"N","중구",6,2023-01-17 10:00:00,10,2023-01-17,"화요일","no",2,7,7,7,2,"A"
"N","중구",18,2023-01-17 11:00:00,11,2023-01-17,"화요일","no",20,24,24,24,31,"A"
"N","중구",23,2023-01-17 12:00:00,12,2023-01-17,"화요일","no",18,26,26,26,23,"A"
"N","중구",10,2023-01-17 13:00:00,13,2023-01-17,"화요일","no",10,16,16,16,11,"A"
"N","중구",8,2023-01-17 14:00:00,14,2023-01-17,"화요일","no",11,11,11,11,15,"A"
"N","중구",9,2023-01-17 15:00:00,15,2023-01-17,"화요일","no",9,7,7,7,15,"A"
"N","중구",13,2023-01-17 16:00:00,16,2023-01-17,"화요일","no",14,14,14,14,17,"A"
"N","중구",14,2023-01-17 17:00:00,17,2023-01-17,"화요일","no",13,27,27,27,18,"A"
"N","중구",17,2023-01-17 18:00:00,18,2023-01-17,"화요일","no",28,29,29,29,35,"A"
"N","중구",22,2023-01-17 19:00:00,19,2023-01-17,"화요일","no",27,27,27,27,31,"A"
"N","중구",23,2023-01-17 20:00:00,20,2023-01-17,"화요일","no",24,18,18,18,28,"A"
"N","중구",12,2023-01-17 21:00:00,21,2023-01-17,"화요일","no",16,15,15,15,23,"A"
"N","중구",4,2023-01-17 22:00:00,22,2023-01-17,"화요일","no",11,14,14,14,14,"A"
"N","중구",5,2023-01-17 23:00:00,23,2023-01-17,"화요일","no",7,4,4,4,7,"A"
"N","중구",2,2023-01-18 09:00:00,9,2023-01-18,"수요일","no",1,3,3,3,1,"A"
"N","중구",4,2023-01-18 10:00:00,10,2023-01-18,"수요일","no",9,8,8,8,11,"A"
"N","중구",22,2023-01-18 11:00:00,11,2023-01-18,"수요일","no",27,24,24,24,39,"A"
"N","중구",25,2023-01-18 12:00:00,12,2023-01-18,"수요일","no",23,21,21,21,32,"A"
"N","중구",17,2023-01-18 13:00:00,13,2023-01-18,"수요일","no",18,20,20,20,26,"A"
"N","중구",12,2023-01-18 14:00:00,14,2023-01-18,"수요일","no",15,18,18,18,22,"A"
"N","중구",7,2023-01-18 15:00:00,15,2023-01-18,"수요일","no",9,10,10,10,11,"A"
"N","중구",12,2023-01-18 16:00:00,16,2023-01-18,"수요일","no",9,12,12,12,11,"A"
"N","중구",19,2023-01-18 17:00:00,17,2023-01-18,"수요일","no",17,15,15,15,23,"A"
"N","중구",28,2023-01-18 18:00:00,18,2023-01-18,"수요일","no",31,31,31,31,42,"A"
"N","중구",32,2023-01-18 19:00:00,19,2023-01-18,"수요일","no",22,23,23,23,27,"A"
"N","중구",16,2023-01-18 20:00:00,20,2023-01-18,"수요일","no",15,18,18,18,21,"A"
"N","중구",16,2023-01-18 21:00:00,21,2023-01-18,"수요일","no",13,16,16,16,16,"A"
"N","중구",7,2023-01-18 22:00:00,22,2023-01-18,"수요일","no",10,9,9,9,11,"A"
"N","중구",4,2023-01-18 23:00:00,23,2023-01-18,"수요일","no",4,3,3,3,4,"A"
"N","중구",1,2023-01-19 09:00:00,9,2023-01-19,"목요일","no",4,4,4,4,4,"A"
"N","중구",5,2023-01-19 10:00:00,10,2023-01-19,"목요일","no",5,6,6,6,6,"A"
"N","중구",31,2023-01-19 11:00:00,11,2023-01-19,"목요일","no",26,23,23,23,36,"A"
"N","중구",19,2023-01-19 12:00:00,12,2023-01-19,"목요일","no",24,26,26,26,35,"A"
"N","중구",15,2023-01-19 13:00:00,13,2023-01-19,"목요일","no",14,17,17,17,16,"A"
"N","중구",10,2023-01-19 14:00:00,14,2023-01-19,"목요일","no",12,10,10,10,14,"A"
"N","중구",10,2023-01-19 15:00:00,15,2023-01-19,"목요일","no",14,12,12,12,18,"A"
"N","중구",14,2023-01-19 16:00:00,16,2023-01-19,"목요일","no",8,16,16,16,9,"A"
"N","중구",15,2023-01-19 17:00:00,17,2023-01-19,"목요일","no",16,20,20,20,21,"A"
"N","중구",24,2023-01-19 18:00:00,18,2023-01-19,"목요일","no",36,35,35,35,49,"A"
"N","중구",22,2023-01-19 19:00:00,19,2023-01-19,"목요일","no",23,26,26,26,34,"A"
"N","중구",17,2023-01-19 20:00:00,20,2023-01-19,"목요일","no",20,19,19,19,26,"A"
"N","중구",15,2023-01-19 21:00:00,21,2023-01-19,"목요일","no",12,11,11,11,17,"A"
"N","중구",14,2023-01-19 22:00:00,22,2023-01-19,"목요일","no",8,8,8,8,9,"A"
"N","중구",7,2023-01-19 23:00:00,23,2023-01-19,"목요일","no",8,6,6,6,9,"A"
"N","중구",1,2023-01-20 09:00:00,9,2023-01-20,"금요일","no",3,3,3,3,3,"A"
"N","중구",4,2023-01-20 10:00:00,10,2023-01-20,"금요일","no",10,10,10,10,11,"A"
"N","중구",29,2023-01-20 11:00:00,11,2023-01-20,"금요일","no",16,16,16,16,18,"A"
"N","중구",24,2023-01-20 12:00:00,12,2023-01-20,"금요일","no",26,26,26,26,41,"A"
"N","중구",16,2023-01-20 13:00:00,13,2023-01-20,"금요일","no",11,11,11,11,17,"A"
"N","중구",10,2023-01-20 14:00:00,14,2023-01-20,"금요일","no",13,13,13,13,15,"A"
"N","중구",12,2023-01-20 15:00:00,15,2023-01-20,"금요일","no",10,10,10,10,12,"A"
"N","중구",18,2023-01-20 16:00:00,16,2023-01-20,"금요일","no",11,11,11,11,16,"A"
"N","중구",26,2023-01-20 17:00:00,17,2023-01-20,"금요일","no",22,22,22,22,31,"A"
"N","중구",38,2023-01-20 18:00:00,18,2023-01-20,"금요일","no",36,36,36,36,55,"A"
"N","중구",27,2023-01-20 19:00:00,19,2023-01-20,"금요일","no",26,26,26,26,34,"A"
"N","중구",28,2023-01-20 20:00:00,20,2023-01-20,"금요일","no",21,21,21,21,32,"A"
"N","중구",16,2023-01-20 21:00:00,21,2023-01-20,"금요일","no",21,21,21,21,27,"A"
"N","중구",13,2023-01-20 22:00:00,22,2023-01-20,"금요일","no",14,14,14,14,17,"A"
"N","중구",9,2023-01-20 23:00:00,23,2023-01-20,"금요일","no",8,8,8,8,13,"A"
"Y","중구",5,2023-01-21 09:00:00,9,2023-01-21,"토요일","no",6,4,4,4,7,"E"
"Y","중구",12,2023-01-21 10:00:00,10,2023-01-21,"토요일","no",8,7,7,7,9,"E"
"Y","중구",20,2023-01-21 11:00:00,11,2023-01-21,"토요일","no",16,23,23,23,24,"E"
"Y","중구",25,2023-01-21 12:00:00,12,2023-01-21,"토요일","no",32,33,33,33,46,"E"
"Y","중구",27,2023-01-21 13:00:00,13,2023-01-21,"토요일","no",14,19,19,19,17,"E"
"Y","중구",18,2023-01-21 14:00:00,14,2023-01-21,"토요일","no",19,17,17,17,28,"E"
"Y","중구",12,2023-01-21 15:00:00,15,2023-01-21,"토요일","no",16,18,18,18,21,"E"
"Y","중구",19,2023-01-21 16:00:00,16,2023-01-21,"토요일","no",19,16,16,16,26,"E"
"Y","중구",20,2023-01-21 17:00:00,17,2023-01-21,"토요일","no",27,35,35,35,38,"E"
"Y","중구",29,2023-01-21 18:00:00,18,2023-01-21,"토요일","no",26,37,37,37,33,"E"
"Y","중구",29,2023-01-21 19:00:00,19,2023-01-21,"토요일","no",29,32,32,32,36,"E"
"Y","중구",26,2023-01-21 20:00:00,20,2023-01-21,"토요일","no",22,24,24,24,30,"E"
"Y","중구",20,2023-01-21 21:00:00,21,2023-01-21,"토요일","no",17,19,19,19,22,"E"
"Y","중구",12,2023-01-21 22:00:00,22,2023-01-21,"토요일","no",13,13,13,13,25,"E"
"Y","중구",9,2023-01-21 23:00:00,23,2023-01-21,"토요일","no",10,13,13,13,11,"E"
"Y","중구",2,2023-01-22 09:00:00,9,2023-01-22,"일요일","no",5,5,5,5,6,"E"
"Y","중구",3,2023-01-22 10:00:00,10,2023-01-22,"일요일","no",6,3,3,3,7,"E"
"Y","중구",18.5,2023-01-22 11:00:00,11,2023-01-22,"일요일","no",26,17,17,17,36,"E"
"Y","중구",17,2023-01-22 12:00:00,12,2023-01-22,"일요일","no",36,20,20,20,54,"E"
"Y","중구",17,2023-01-22 13:00:00,13,2023-01-22,"일요일","no",29,20,20,20,42,"E"
"Y","중구",10,2023-01-22 14:00:00,14,2023-01-22,"일요일","no",21,17,17,17,29,"E"
"Y","중구",9,2023-01-22 15:00:00,15,2023-01-22,"일요일","no",17,12,12,12,24,"E"
"Y","중구",18,2023-01-22 16:00:00,16,2023-01-22,"일요일","no",23,19,19,19,29,"E"
"Y","중구",19,2023-01-22 17:00:00,17,2023-01-22,"일요일","no",24,28,28,28,42,"E"
"Y","중구",23,2023-01-22 18:00:00,18,2023-01-22,"일요일","no",34,27,27,27,49,"E"
"Y","중구",19,2023-01-22 19:00:00,19,2023-01-22,"일요일","no",28,25,25,25,38,"E"
"Y","중구",10,2023-01-22 20:00:00,20,2023-01-22,"일요일","no",22,22,22,22,28,"E"
"Y","중구",19,2023-01-22 21:00:00,21,2023-01-22,"일요일","no",12,16,16,16,16,"E"
"Y","중구",15,2023-01-22 22:00:00,22,2023-01-22,"일요일","no",8,12,12,12,10,"E"
"Y","중구",9,2023-01-22 23:00:00,23,2023-01-22,"일요일","no",5,5,5,5,7,"E"
"Y","중구",3,2023-01-23 09:00:00,9,2023-01-23,"월요일","no",4,3,3,3,5,"C"
"Y","중구",9,2023-01-23 10:00:00,10,2023-01-23,"월요일","no",4,10,5,5,6,"C"
"Y","중구",16,2023-01-23 11:00:00,11,2023-01-23,"월요일","no",18,24,21,21,25,"C"
"Y","중구",18,2023-01-23 12:00:00,12,2023-01-23,"월요일","no",19,21,19,19,26,"C"
"Y","중구",21,2023-01-23 13:00:00,13,2023-01-23,"월요일","no",9,16,16,16,9,"C"
"Y","중구",15,2023-01-23 14:00:00,14,2023-01-23,"월요일","no",14,12,13,13,16,"C"
"Y","중구",13,2023-01-23 15:00:00,15,2023-01-23,"월요일","no",9,10,12,12,11,"C"
"Y","중구",13,2023-01-23 16:00:00,16,2023-01-23,"월요일","no",11,11,12,12,16,"C"
"Y","중구",26,2023-01-23 17:00:00,17,2023-01-23,"월요일","no",19,20,16,16,23,"C"
"Y","중구",34,2023-01-23 18:00:00,18,2023-01-23,"월요일","no",27,27,24,24,33,"C"
"Y","중구",27,2023-01-23 19:00:00,19,2023-01-23,"월요일","no",28,27,25,25,33,"C"
"Y","중구",26,2023-01-23 20:00:00,20,2023-01-23,"월요일","no",18,19,17,17,22,"C"
"Y","중구",10,2023-01-23 21:00:00,21,2023-01-23,"월요일","no",10,16,12,12,12,"C"
"Y","중구",14,2023-01-23 22:00:00,22,2023-01-23,"월요일","no",15,8,12,12,18,"C"
"Y","중구",4,2023-01-23 23:00:00,23,2023-01-23,"월요일","no",7,5,8,8,11,"C"
"N","중구",2,2023-01-24 09:00:00,9,2023-01-24,"화요일","no",2,1,4,4,2,"A"
"N","중구",7,2023-01-24 10:00:00,10,2023-01-24,"화요일","no",6,2,7,7,6,"A"
"N","중구",14,2023-01-24 11:00:00,11,2023-01-24,"화요일","no",18,20,24,24,24,"A"
"N","중구",23,2023-01-24 12:00:00,12,2023-01-24,"화요일","no",23,18,26,26,28,"A"
"N","중구",14,2023-01-24 13:00:00,13,2023-01-24,"화요일","no",10,10,16,16,13,"A"
"N","중구",9,2023-01-24 14:00:00,14,2023-01-24,"화요일","no",8,11,11,11,11,"A"
"N","중구",9,2023-01-24 15:00:00,15,2023-01-24,"화요일","no",9,9,7,7,11,"A"
"N","중구",10,2023-01-24 16:00:00,16,2023-01-24,"화요일","no",13,14,14,14,16,"A"
"N","중구",21,2023-01-24 17:00:00,17,2023-01-24,"화요일","no",14,13,27,27,20,"A"
"N","중구",27,2023-01-24 18:00:00,18,2023-01-24,"화요일","no",17,28,29,29,22,"A"
"N","중구",29,2023-01-24 19:00:00,19,2023-01-24,"화요일","no",22,27,27,27,31,"A"
"N","중구",23,2023-01-24 20:00:00,20,2023-01-24,"화요일","no",23,24,18,18,27,"A"
"N","중구",16,2023-01-24 21:00:00,21,2023-01-24,"화요일","no",12,16,15,15,17,"A"
"N","중구",9,2023-01-24 22:00:00,22,2023-01-24,"화요일","no",4,11,14,14,4,"A"
"N","중구",7,2023-01-24 23:00:00,23,2023-01-24,"화요일","no",5,7,4,4,7,"A"
"N","중구",2,2023-01-25 09:00:00,9,2023-01-25,"수요일","no",2,1,3,3,2,"A"
"N","중구",4,2023-01-25 10:00:00,10,2023-01-25,"수요일","no",4,9,8,8,4,"A"
"N","중구",23,2023-01-25 11:00:00,11,2023-01-25,"수요일","no",22,27,24,24,28,"A"
"N","중구",25,2023-01-25 12:00:00,12,2023-01-25,"수요일","no",25,23,21,21,34,"A"
"N","중구",19,2023-01-25 13:00:00,13,2023-01-25,"수요일","no",17,18,20,20,18,"A"
"N","중구",12,2023-01-25 14:00:00,14,2023-01-25,"수요일","no",12,15,18,18,17,"A"
"N","중구",8,2023-01-25 15:00:00,15,2023-01-25,"수요일","no",7,9,10,10,11,"A"
"N","중구",13,2023-01-25 16:00:00,16,2023-01-25,"수요일","no",12,9,12,12,18,"A"
"N","중구",20,2023-01-25 17:00:00,17,2023-01-25,"수요일","no",19,17,15,15,24,"A"
"N","중구",22,2023-01-25 18:00:00,18,2023-01-25,"수요일","no",28,31,31,31,37,"A"
"N","중구",19,2023-01-25 19:00:00,19,2023-01-25,"수요일","no",32,22,23,23,40,"A"
"N","중구",16,2023-01-25 20:00:00,20,2023-01-25,"수요일","no",16,15,18,18,21,"A"
"N","중구",12,2023-01-25 21:00:00,21,2023-01-25,"수요일","no",16,13,16,16,28,"A"
"N","중구",7,2023-01-25 22:00:00,22,2023-01-25,"수요일","no",7,10,9,9,9,"A"
"N","중구",4,2023-01-25 23:00:00,23,2023-01-25,"수요일","no",4,4,3,3,6,"A"
