"date","hour_reg","pick_rgn2_nm","order_cnt","day_of_reg","order_cnt_ratio","order_cnt_predict"
2023-05-18,9,"동대문구",6985.00516298082,"목요일",0.01,70
2023-05-18,9,"성동구",6938.76203949313,"목요일",0.01,69
2023-05-18,9,"성북구",8079.18184993534,"목요일",0.01,81
2023-05-18,9,"중랑구",4497.13615014863,"목요일",0.01,45
2023-05-18,9,"강서구",10450.3877699668,"목요일",0.01,105
2023-05-18,9,"관악구",14764.4396264431,"목요일",0.01,148
2023-05-18,9,"구로구",6086.76366090245,"목요일",0.01,61
2023-05-18,9,"금천구",4836.74406101433,"목요일",0.01,48
2023-05-18,9,"동작구",8407.76009771448,"목요일",0.01,84
2023-05-18,9,"양천구",6886.30416766103,"목요일",0.01,69
2023-05-18,9,"영등포구",10450.3116644144,"목요일",0.01,105
2023-05-18,9,"마포구",11229.3857710739,"목요일",0.01,112
2023-05-18,9,"서대문구",7221.16397681937,"목요일",0.01,72
2023-05-18,9,"용산구",5720.30483361344,"목요일",0.01,57
2023-05-18,9,"은평구",5855.75926872411,"목요일",0.01,59
2023-05-18,9,"종로구",4711.0684401022,"목요일",0.01,47
2023-05-18,9,"중구",4807.83586522013,"목요일",0.01,48
2023-05-19,9,"강남구",22008.4469893756,"금요일",0.02,440
2023-05-19,9,"서초구",11461.2466096326,"금요일",0.02,229
2023-05-19,9,"강동구",7351.94806852716,"금요일",0.01,74
2023-05-19,9,"송파구",17287.4726285004,"금요일",0.02,346
2023-05-19,9,"강북구",4672.94088582069,"금요일",0.01,47
2023-05-19,9,"광진구",7089.42887739854,"금요일",0.01,71
2023-05-19,9,"노원구",7621.28471567184,"금요일",0.01,76
2023-05-19,9,"도봉구",4125.78950793678,"금요일",0.01,41
2023-05-19,9,"동대문구",8225.97212318707,"금요일",0.01,82
2023-05-19,9,"성동구",7681.10321265827,"금요일",0.01,77
2023-05-19,9,"성북구",9592.80085542817,"금요일",0.01,96
2023-05-19,9,"중랑구",5608.79262236742,"금요일",0.01,56
2023-05-19,9,"강서구",12895.0636172415,"금요일",0.02,258
2023-05-19,9,"관악구",17213.4208493546,"금요일",0.02,344
2023-05-19,9,"구로구",7476.55234636667,"금요일",0.01,75
2023-05-19,9,"금천구",5848.82010673704,"금요일",0.02,117
2023-05-19,9,"동작구",9980.89948656794,"금요일",0.01,100
2023-05-19,9,"양천구",8208.15822418817,"금요일",0.01,82
2023-05-19,9,"영등포구",12019.5025128738,"금요일",0.02,240
2023-05-19,9,"마포구",12975.492092492,"금요일",0.02,260
2023-05-19,9,"서대문구",8363.8154351962,"금요일",0.01,84
2023-05-19,9,"용산구",6575.96290641534,"금요일",0.02,132
2023-05-19,9,"은평구",7195.57660215971,"금요일",0.01,72
2023-05-19,9,"종로구",4997.20259229953,"금요일",0.02,100
2023-05-19,9,"중구",4958.71365265082,"금요일",0.02,99
2023-05-20,9,"강남구",26741.4206826121,"토요일",0.02,535
2023-05-20,9,"서초구",14234.6644388777,"토요일",0.02,285
2023-05-20,9,"강동구",9888.72349261349,"토요일",0.01,99
2023-05-20,9,"송파구",22829.1032248514,"토요일",0.02,457
2023-05-20,9,"강북구",6412.4904953862,"토요일",0.01,64
2023-05-20,9,"광진구",9610.49743698058,"토요일",0.02,192
2023-05-20,9,"노원구",10179.397025646,"토요일",0.01,102
2023-05-20,9,"도봉구",5744.17240303974,"토요일",0.01,57
2023-05-20,9,"동대문구",11130.327032814,"토요일",0.02,223
2023-05-20,9,"성동구",9830.62565522755,"토요일",0.02,197
2023-05-20,9,"성북구",12644.8767794003,"토요일",0.01,126
2023-05-20,9,"중랑구",7911.80778347174,"토요일",0.01,79
2023-05-20,9,"강서구",17203.9421239273,"토요일",0.02,344
2023-05-20,9,"관악구",23548.6766790151,"토요일",0.02,471
2023-05-20,9,"구로구",10023.1970243494,"토요일",0.01,100
2023-05-20,9,"금천구",7695.01123676683,"토요일",0.01,77
2023-05-20,9,"동작구",13461.6142932648,"토요일",0.01,135
2023-05-20,9,"양천구",11195.51106917,"토요일",0.01,112
2023-05-20,9,"영등포구",15487.0742092429,"토요일",0.02,310
2023-05-20,9,"마포구",16837.3001246554,"토요일",0.02,337
2023-05-20,9,"서대문구",11072.902076887,"토요일",0.01,111
2023-05-20,9,"용산구",8530.47596314918,"토요일",0.02,171
2023-05-20,9,"은평구",9714.91235601449,"토요일",0.01,97
2023-05-20,9,"종로구",6151.8064003816,"토요일",0.02,123
2023-05-20,9,"중구",5838.40894808324,"토요일",0.02,117
2023-05-21,9,"강남구",24621.6398754218,"일요일",0.02,492
2023-05-21,9,"서초구",13810.412168653,"일요일",0.02,276
2023-05-21,9,"강동구",9432.92659569372,"일요일",0.02,189
2023-05-21,9,"송파구",22034.0595814733,"일요일",0.02,441
2023-05-21,9,"강북구",6257.03926389609,"일요일",0.01,63
2023-05-21,9,"광진구",9670.52223260444,"일요일",0.02,193
2023-05-21,9,"노원구",9604.88932446151,"일요일",0.01,96
2023-05-21,9,"도봉구",5475.49003627715,"일요일",0.01,55
2023-05-21,9,"동대문구",10737.9994995014,"일요일",0.01,107
2023-05-21,9,"성동구",9498.27837800207,"일요일",0.01,95
2023-05-21,9,"성북구",12314.1378295311,"일요일",0.02,246
2023-05-21,9,"중랑구",7631.72006896059,"일요일",0.01,76
2023-05-21,9,"강서구",16817.1344450574,"일요일",0.02,336
2023-05-21,9,"관악구",23792.6047426602,"일요일",0.02,476
2023-05-21,9,"구로구",9478.33235916979,"일요일",0.01,95
2023-05-21,9,"금천구",7712.36394649506,"일요일",0.01,77
2023-05-21,9,"동작구",13296.804529052,"일요일",0.01,133
2023-05-21,9,"양천구",10386.332631725,"일요일",0.01,104
2023-05-21,9,"영등포구",15579.0264265465,"일요일",0.02,312
2023-05-21,9,"마포구",16203.5962611503,"일요일",0.02,324
2023-05-21,9,"서대문구",10618.8544554589,"일요일",0.01,106
2023-05-21,9,"용산구",8246.67838119791,"일요일",0.02,165
2023-05-21,9,"은평구",9448.60800909014,"일요일",0.02,189
2023-05-21,9,"종로구",5834.9594802441,"일요일",0.01,58
2023-05-21,9,"중구",5393.96742673146,"일요일",0.02,108
2023-05-22,9,"강남구",20681.8014439887,"월요일",0.02,414
2023-05-22,9,"서초구",10550.3482408835,"월요일",0.02,211
2023-05-22,9,"강동구",6293.591606074,"월요일",0.01,63
2023-05-22,9,"송파구",15344.3179199277,"월요일",0.02,307
2023-05-22,9,"강북구",4065.24116435854,"월요일",0.01,41
2023-05-22,9,"광진구",6413.07702545594,"월요일",0.01,64
2023-05-22,9,"노원구",6223.153003916,"월요일",0.01,62
2023-05-22,9,"도봉구",3458.75743141847,"월요일",0.01,35
2023-05-22,9,"동대문구",7035.65287574187,"월요일",0.01,70
2023-05-22,9,"성동구",6938.65679576387,"월요일",0.01,69
