"not_rain_all_predict","test_data_all_not.reg_date","test_data_all_not.hour_reg","test_data_all_not.pick_rgn2_nm"
99.632306649106,2023-05-03,"11","중랑구"
147.760284684645,2023-05-03,"12","강동구"
110.19117477935,2023-05-03,"12","강북구"
265.246903473291,2023-05-03,"12","강서구"
340.894302475311,2023-05-03,"12","관악구"
164.01289155579,2023-05-03,"12","광진구"
139.272520974581,2023-05-03,"12","구로구"
116.546584942111,2023-05-03,"12","금천구"
172.32987261399,2023-05-03,"12","노원구"
70.6064697347806,2023-05-03,"12","도봉구"
179.287982653871,2023-05-03,"12","동대문구"
155.244995978584,2023-05-03,"12","동작구"
329.80064404572,2023-05-03,"12","마포구"
171.947855780291,2023-05-03,"12","서대문구"
281.762776347792,2023-05-03,"12","서초구"
210.546149950251,2023-05-03,"12","성동구"
209.993478935431,2023-05-03,"12","성북구"
377.373166283707,2023-05-03,"12","송파구"
164.703899782234,2023-05-03,"12","양천구"
271.426053471367,2023-05-03,"12","영등포구"
158.303715335611,2023-05-03,"12","용산구"
134.45274368799,2023-05-03,"12","은평구"
124.691432732715,2023-05-03,"12","종로구"
132.292366875458,2023-05-03,"12","중구"
103.959357694348,2023-05-03,"12","중랑구"
109.348796314509,2023-05-03,"13","강동구"
83.0262300868804,2023-05-03,"13","강북구"
203.276099232286,2023-05-03,"13","강서구"
257.698334030026,2023-05-03,"13","관악구"
108.769903735569,2023-05-03,"13","광진구"
103.300692656793,2023-05-03,"13","구로구"
82.9200307075391,2023-05-03,"13","금천구"
135.56566208871,2023-05-03,"13","노원구"
54.5770346728182,2023-05-03,"13","도봉구"
131.774883214149,2023-05-03,"13","동대문구"
122.452688181436,2023-05-03,"13","동작구"
238.98925376436,2023-05-03,"13","마포구"
112.532943816493,2023-05-03,"13","서대문구"
191.75649148529,2023-05-03,"13","서초구"
123.991237009607,2023-05-03,"13","성동구"
155.170190695795,2023-05-03,"13","성북구"
281.355956709257,2023-05-03,"13","송파구"
128.695761987158,2023-05-03,"13","양천구"
179.011585185444,2023-05-03,"13","영등포구"
101.622547614449,2023-05-03,"13","용산구"
111.549014666744,2023-05-03,"13","은평구"
77.0176480077394,2023-05-03,"13","종로구"
74.856375022617,2023-05-03,"13","중구"
81.4488258554437,2023-05-03,"13","중랑구"
