"강남구.test_set.datetime","강남구.arima_model_forecast.mean","강남구.arima_model_forecast.lower...2.","강남구.arima_model_forecast.upper...2.","서초구.test_set.datetime","서초구.arima_model_forecast.mean","서초구.arima_model_forecast.lower...2.","서초구.arima_model_forecast.upper...2."
2023-04-03 18:00:00,839.457291297093,96.8709902153697,1582.04359237882,2023-04-03 18:00:00,413.449368225846,40.8325831356099,786.066153316083
2023-04-03 19:00:00,668.037787628278,-74.5485134534522,1410.62408871001,2023-04-03 19:00:00,276.921304709832,-95.6954803888757,649.53808980854
2023-04-03 20:00:00,508.927648637304,-233.658652444428,1251.51394971904,2023-04-03 20:00:00,199.891743478613,-172.725041625849,572.508528583076
2023-04-03 21:00:00,408.50718281057,-334.079118271163,1151.0934838923,2023-04-03 21:00:00,152.901800698414,-219.714984407365,525.518585804193
2023-04-03 22:00:00,310.971324082272,-431.61497699946,1053.557625164,2023-04-03 22:00:00,101.210443085791,-271.406342020174,473.827228191755
2023-04-03 23:00:00,230.084290500169,-512.502010581563,972.670591581901,2023-04-03 23:00:00,52.9418360102318,-319.674949095857,425.55862111632
2023-04-04 00:00:00,156.395468213366,-588.697392648355,901.488329075086,2023-04-04 00:00:00,31.2398510881605,-342.642159322738,405.121861499059
2023-04-04 01:00:00,12.1182663476874,-734.215503343765,758.45203603914,2023-04-04 01:00:00,-0.397684934958402,-374.778835689851,373.983465819934
2023-04-04 02:00:00,3.11181949684711,-743.366329588715,749.589968582409,2023-04-04 02:00:00,-0.596638468503865,-375.059396824286,373.866119887279
2023-04-04 03:00:00,3.37511052173472,-743.114008000691,749.864229044161,2023-04-04 03:00:00,-0.413357121502558,-374.914484977944,374.087770734939
2023-04-04 04:00:00,2.75079429029195,-743.74222858626,749.243817166844,2023-04-04 04:00:00,0.0592810505175234,-374.494992456888,374.613554557923
2023-04-04 05:00:00,2.28763635591949,-744.20755273922,748.782825451059,2023-04-04 05:00:00,0.325433291365119,-374.24731412995,374.898180712681
2023-04-04 06:00:00,2.00520505977093,-744.490603175559,748.5010132951,2023-04-04 06:00:00,0.34546914626691,-374.230387973423,374.921326265957
2023-04-04 07:00:00,1.8765711710453,-744.619346097842,748.372488439933,2023-04-04 07:00:00,0.35739145654161,-374.219909152247,374.934692065331
2023-04-04 08:00:00,186.707977629759,-559.787960624361,933.203915883878,2023-04-04 08:00:00,72.5334188966665,-302.045127934209,447.111965727542
2023-04-04 09:00:00,457.348274676441,-289.147669706215,1203.8442190591,2023-04-04 09:00:00,197.030901593878,-177.548035564122,571.609838751878
2023-04-04 10:00:00,923.350785787565,176.854839506944,1669.84673206819,2023-04-04 10:00:00,420.593024814733,46.0140225650819,795.172027064383
2023-04-04 11:00:00,858.074670402571,111.578723645005,1604.57061716014,2023-04-04 11:00:00,364.160113793874,-10.4189196296385,738.739147217387
2023-04-04 12:00:00,615.824184918507,-130.671761944718,1362.32013178173,2023-04-04 12:00:00,262.180037189907,-112.399019304649,636.759093684463
2023-04-04 13:00:00,453.255126661116,-293.240820227262,1199.75107354949,2023-04-04 13:00:00,182.801813577547,-191.777249472754,557.380876627848
2023-04-04 14:00:00,409.63540063517,-336.860546259907,1156.13134753025,2023-04-04 14:00:00,165.015996319521,-209.563067785439,539.595060424481
2023-04-04 15:00:00,489.647001708564,-256.848945188292,1236.14294860542,2023-04-04 15:00:00,208.543344486896,-166.035720159729,583.122409133522
2023-04-04 16:00:00,766.328858609737,19.8329117124405,1512.82480550703,2023-04-04 16:00:00,380.898564557106,6.31949953337738,755.477629580834
2023-04-04 17:00:00,900.045270041816,153.549323144414,1646.54121693922,2023-04-04 17:00:00,472.256347358847,97.6772822383347,846.83541247936
2023-04-04 18:00:00,839.457291297093,92.9613443996635,1585.95323819452,2023-04-04 18:00:00,413.449368225846,38.8703030906238,788.028433361069
2023-04-04 19:00:00,668.037787628278,-78.4581592691585,1414.53373452571,2023-04-04 19:00:00,276.921304709832,-97.6577604338174,651.500369853482
2023-04-04 20:00:00,508.927648637304,-237.568298260134,1255.42359553474,2023-04-04 20:00:00,199.891743478613,-174.687321670761,574.470808627987
2023-04-04 21:00:00,400.052565072078,-346.443381825361,1146.54851196952,2023-04-04 21:00:00,150.078008971117,-224.501056179567,524.657074121801
2023-04-04 22:00:00,302.51670634378,-443.979240553659,1049.01265324122,2023-04-04 22:00:00,98.3866513584936,-276.192413792375,472.965716509362
2023-04-04 23:00:00,221.629672761677,-524.866274135761,968.125619659116,2023-04-04 23:00:00,50.1180442829345,-324.461020868057,424.697109433926
2023-04-05 00:00:00,147.940850474874,-601.048572339065,896.930273288813,2023-04-05 00:00:00,28.4160593608632,-347.421625305655,404.253744027382
2023-04-05 01:00:00,3.66364860919558,-746.560237948616,753.887535167007,2023-04-05 01:00:00,-3.22147666225576,-379.555707828053,373.112754503541
2023-04-05 02:00:00,-5.3427982416447,-755.710315690435,745.024719207146,2023-04-05 02:00:00,-3.42043019580122,-379.83584553106,372.994985139457
2023-04-05 03:00:00,-5.07950721675708,-755.457937245528,745.298922812014,2023-04-05 03:00:00,-3.23714884879992,-379.690734662962,373.216436965362
2023-04-05 04:00:00,-5.70382344819985,-756.086137594414,744.678490698014,2023-04-05 04:00:00,-2.76451067677984,-379.270966543415,373.741945189855
2023-04-05 05:00:00,-6.16698138257232,-756.551450519722,744.217487754578,2023-04-05 05:00:00,-2.49835843593224,-379.023192434098,374.026475562234
2023-04-05 06:00:00,-6.44941267872087,-756.834497747029,743.935672389587,2023-04-05 06:00:00,-2.47832258103045,-379.006250155526,374.049604993465
2023-04-05 07:00:00,-6.5780465674465,-756.963240104187,743.807146969295,2023-04-05 07:00:00,-2.46640027075575,-378.995763850757,374.062963309246
2023-04-05 08:00:00,178.253359891267,-572.131854521939,928.638574304472,2023-04-05 08:00:00,69.7096271693691,-306.820976171879,446.240230510617
2023-04-05 09:00:00,448.893656937949,-301.491563572028,1199.27887744793,2023-04-05 09:00:00,194.207109866581,-182.323881778212,570.738101511374
2023-04-05 10:00:00,914.896168049073,164.510945650967,1665.28139044718,2023-04-05 10:00:00,417.769233087435,41.2381766884475,794.300289486423
2023-04-05 11:00:00,849.620052664079,99.2348297915009,1600.00527553666,2023-04-05 11:00:00,361.336322066577,-15.1947653446579,737.867409477812
2023-04-05 12:00:00,607.369567180015,-143.015655797674,1357.7547901577,2023-04-05 12:00:00,259.35624546261,-117.174864900061,635.887355825281
2023-04-05 13:00:00,444.800508922624,-305.584714080088,1195.18573192534,2023-04-05 13:00:00,179.97802185025,-196.553095034179,556.509138734678
2023-04-05 14:00:00,401.180782896679,-349.204440112698,1151.56600590606,2023-04-05 14:00:00,162.192204592224,-214.338913341396,538.723322525844
2023-04-05 15:00:00,489.647001708564,-260.738221302582,1240.03222471971,2023-04-05 15:00:00,208.543344486896,-167.987773985581,585.074462959374
2023-04-05 16:00:00,766.328858609737,15.9436355981524,1516.71408162132,2023-04-05 16:00:00,380.898564557106,4.36744570948065,757.429683404731
2023-04-05 17:00:00,891.590652303325,141.205429291634,1641.97587531501,2023-04-05 17:00:00,469.43255563155,92.9014366876423,845.963674575458
2023-04-05 18:00:00,839.457291297093,89.0720682853761,1589.84251430881,2023-04-05 18:00:00,413.449368225846,36.9182492673051,789.980487184388
2023-04-05 19:00:00,668.037787628278,-82.3474353834458,1418.42301064,2023-04-05 19:00:00,276.921304709832,-99.6098142570924,653.452423676757
2023-04-05 20:00:00,508.927648637304,-241.457574374422,1259.31287164903,2023-04-05 20:00:00,199.891743478613,-176.639375494006,576.422862451233
2023-04-05 21:00:00,400.052565072078,-350.332657939648,1150.4377880838,2023-04-05 21:00:00,150.078008971117,-226.453110002805,526.609127945039
2023-04-05 22:00:00,310.971324082272,-439.413898929454,1061.356547094,2023-04-05 22:00:00,101.210443085791,-275.320675888315,477.741562059897
2023-04-05 23:00:00,230.084290500169,-520.300932511557,980.469513511895,2023-04-05 23:00:00,52.9418360102318,-323.589282963997,429.47295498446
2023-04-06 00:00:00,156.395468213366,-596.470349623526,909.261286050257,2023-04-06 00:00:00,31.2398510881605,-346.543384011127,409.023086187448
2023-04-06 01:00:00,12.1182663476874,-741.975669539588,766.212202234963,2023-04-06 01:00:00,-0.397684934958402,-378.67491271076,377.879542840843
2023-04-06 02:00:00,3.11181949684711,-751.12501030021,757.348649293904,2023-04-06 02:00:00,-0.596638468503865,-378.954633505756,377.761356568748
2023-04-06 03:00:00,3.37511052173472,-750.872575873456,757.622796916925,2023-04-06 03:00:00,-0.413357121502558,-378.809326681082,377.982612438077
2023-04-06 04:00:00,2.75079429029195,-751.500756297097,757.002344877681,2023-04-06 04:00:00,0.0592810505175234,-378.389287206581,378.507849307616
2023-04-06 05:00:00,2.28763635591949,-751.966058167546,756.541330879385,2023-04-06 05:00:00,0.325433291365119,-378.141418789422,378.792285372152
2023-04-06 06:00:00,-6.44941267872087,-760.703719973698,747.804894616257,2023-04-06 06:00:00,-2.47832258103045,-380.948252364281,375.99160720222
2023-04-06 07:00:00,-6.5780465674465,-760.832461774429,747.676368639536,2023-04-06 07:00:00,-2.46640027075575,-380.937758691119,376.004958149607
2023-04-06 08:00:00,186.707977629759,-567.546458346594,940.962413606112,2023-04-06 08:00:00,72.5334188966665,-305.939172923558,451.006010716891
2023-04-06 09:00:00,457.348274676441,-296.906167365408,1211.60271671829,2023-04-06 09:00:00,197.030901593878,-181.442076537461,575.503879725217
2023-04-06 10:00:00,914.896168049073,160.641724128781,1669.15061196937,2023-04-06 10:00:00,417.769233087435,39.2961905341623,796.242275640708
2023-04-06 11:00:00,858.074670402571,103.82022601024,1612.3291147949,2023-04-06 11:00:00,364.160113793874,-14.3129596125186,742.633187200267
2023-04-06 12:00:00,615.824184918507,-138.430259578395,1370.07862941541,2023-04-06 12:00:00,262.180037189907,-116.293059050155,640.65313342997
2023-04-06 13:00:00,444.800508922624,-309.453935599172,1199.05495344442,2023-04-06 13:00:00,179.97802185025,-198.495080878107,558.451124578606
2023-04-06 14:00:00,401.180782896679,-353.073661631749,1155.43522742511,2023-04-06 14:00:00,162.192204592224,-216.28089917994,540.665308364388
2023-04-06 15:00:00,489.647001708564,-264.607442821623,1243.90144623875,2023-04-06 15:00:00,208.543344486896,-169.929759821361,587.016448795153
2023-04-06 16:00:00,757.874240871245,3.61979634062129,1512.12868540187,2023-04-06 16:00:00,378.074772829808,-0.39833185167123,756.547877511288
2023-04-06 17:00:00,900.045270041816,145.790825511087,1654.29971457255,2023-04-06 17:00:00,472.256347358847,93.7832425815792,850.729452136115
2023-04-06 18:00:00,839.457291297093,85.2028467663375,1593.71173582785,2023-04-06 18:00:00,413.449368225846,34.9762634340197,791.922473017673
2023-04-06 19:00:00,668.037787628278,-86.2166569024844,1422.29223215904,2023-04-06 19:00:00,276.921304709832,-101.551800090335,655.394409509999
2023-04-06 20:00:00,500.473030898812,-253.781413631952,1254.72747542958,2023-04-06 20:00:00,197.067951751316,-181.405153054516,575.541056557148
2023-04-06 21:00:00,400.052565072078,-354.201879458686,1154.30700960284,2023-04-06 21:00:00,150.078008971117,-228.395095836012,528.551113778246
2023-04-06 22:00:00,310.971324082272,-443.283120448493,1065.22576861304,2023-04-06 22:00:00,101.210443085791,-277.26266172152,479.683547893102
2023-04-06 23:00:00,230.084290500169,-524.170154030595,984.338735030933,2023-04-06 23:00:00,52.9418360102318,-325.531268797202,431.414940817665
2023-04-07 00:00:00,156.395468213366,-600.326887639338,913.117824066069,2023-04-07 00:00:00,31.2398510881605,-348.47896623418,410.958668410501
2023-04-07 01:00:00,12.1182663476874,-745.825958725647,770.062491421021,2023-04-07 01:00:00,-0.397684934958402,-380.60798011427,379.812610244353
2023-04-07 02:00:00,3.11181949684711,-754.974573734406,761.1982127281,2023-04-07 02:00:00,-0.596638468503865,-380.887290358874,379.694013421866
2023-04-07 03:00:00,3.37511052173472,-754.722084178623,761.472305222092,2023-04-07 03:00:00,-0.413357121502558,-380.741790564925,379.91507632192
2023-04-07 04:00:00,2.75079429029195,-755.350244980553,760.851833561137,2023-04-07 04:00:00,0.0592810505175234,-380.321483871214,380.44004597225
2023-04-07 05:00:00,2.28763635591949,-755.815535964544,760.390808676383,2023-04-07 05:00:00,0.325433291365119,-380.073522583298,380.724389166029
2023-04-07 06:00:00,2.00520505977093,-756.098576920691,760.108987040233,2023-04-07 06:00:00,0.34546914626691,-380.05654879887,380.747487091404
2023-04-07 07:00:00,1.8765711710453,-756.22731817347,759.98046051556,2023-04-07 07:00:00,0.35739145654161,-380.046047869588,380.760830782672
2023-04-07 08:00:00,186.707977629759,-571.395932378666,944.811887638183,2023-04-07 08:00:00,72.5334188966665,-307.871247564869,452.938085358202
2023-04-07 09:00:00,457.348274676441,-300.75564136668,1215.45219071956,2023-04-07 09:00:00,197.030901593878,-183.3741492167,577.435952404456
2023-04-07 10:00:00,923.350785787565,165.246867875539,1681.45470369959,2023-04-07 10:00:00,420.593024814733,40.1879099094183,800.998139720047
2023-04-07 11:00:00,858.074670402571,99.9707520209038,1616.17858878424,2023-04-07 11:00:00,364.160113793874,-16.2450318078574,744.565259395606
