"Group.1","Group.2","x"
"9","강동구",14.7684964727268
"10","강동구",18.3366036429905
"11","강동구",20.532056442284
"12","강동구",24.9775894232319
"13","강동구",23.6707717153901
"14","강동구",20.3483362134655
"15","강동구",17.4854370184578
"16","강동구",20.4350514390799
"17","강동구",26.7560029649288
"18","강동구",29.2264182248285
"19","강동구",24.3934427684086
"20","강동구",20.4087139784274
"21","강동구",17.4741789737398
"22","강동구",16.919634834301
"23","강동구",15.9516665009868
"24","강동구",15.4172025109965
"25","강동구",14.8142893611462
"9","강북구",15.1370028914557
"10","강북구",15.8340721672505
"11","강북구",19.1336297109461
"12","강북구",24.855388321603
"13","강북구",22.2241228381133
"14","강북구",18.2349709805508
"15","강북구",17.4840907348696
"16","강북구",20.3225157856052
"17","강북구",21.6037883920463
"18","강북구",22.2771352559066
"19","강북구",19.1363902036885
"20","강북구",16.7456401292041
"21","강북구",16.5042384354133
"22","강북구",16.7623523537087
"23","강북구",15.7533484885684
"24","강북구",15.2973075462725
"25","강북구",14.7574950643135
"9","강서구",14.874689913421
"10","강서구",20.2656872033371
"11","강서구",27.9106247589359
"12","강서구",34.2235720917977
"13","강서구",37.1599916369005
"14","강서구",29.5244592524623
"15","강서구",26.1075925007203
"16","강서구",27.2474207923936
"17","강서구",35.3090677547974
"18","강서구",38.0376232260803
"19","강서구",38.965055441891
"20","강서구",32.869240301866
"21","강서구",24.6274917446773
"22","강서구",23.7961085787849
"23","강서구",20.6142445676828
"24","강서구",19.4866691055611
"25","강서구",16.5112653340795
"9","관악구",16.317245625142
"10","관악구",23.1320953328318
"11","관악구",32.900946540522
"12","관악구",35.4684563348621
"13","관악구",40.7451909924434
"14","관악구",32.9419775081628
"15","관악구",29.1861894052092
"16","관악구",33.7786046772672
"17","관악구",42.0842371378482
"18","관악구",42.5377721272008
"19","관악구",44.2890807681645
"20","관악구",39.4166237258986
"21","관악구",35.6881590947495
"22","관악구",26.6618643129689
"23","관악구",20.4523507122274
"24","관악구",23.926410773486
"25","관악구",19.5265024240229
"9","광진구",14.9419446998439
"10","광진구",17.2374913375
"11","광진구",20.5080570819809
"12","광진구",22.5518855704007
"13","광진구",21.2389077521897
"14","광진구",19.3472422257896
"15","광진구",18.2540628246891
"16","광진구",20.6595719718285
"17","광진구",22.532121045626
"18","광진구",23.9225736890496
"19","광진구",22.5895537256464
"20","광진구",18.9731921208402
"21","광진구",16.1165842956227
"22","광진구",16.8992142535417
"23","광진구",15.6302834134644
"24","광진구",17.6216796901132
"25","광진구",15.3442934398992
"9","구로구",14.7308561671377
"10","구로구",18.681776408744
"11","구로구",22.6671216381242
"12","구로구",27.9491663922417
"13","구로구",25.7188836713703
"14","구로구",22.6868950066767
"15","구로구",19.9310688505444
"16","구로구",23.0610719046377
"17","구로구",25.1736902142108
"18","구로구",26.9165849633694
"19","구로구",26.854636105132
"20","구로구",21.9210786907294
"21","구로구",18.8522826050904
"22","구로구",17.5318638796761
"23","구로구",15.4765383820457
"24","구로구",14.8698715662638
"25","구로구",13.9633106690784
"9","금천구",15.1011033590839
"10","금천구",15.0770698235652
"11","금천구",17.9918724750251
"12","금천구",19.540264517302
"13","금천구",20.5840540814354
"14","금천구",17.6001655209372
"15","금천구",17.7716004445319
"16","금천구",17.7127135557648
"17","금천구",19.721689557414
"18","금천구",21.1986695725442
"19","금천구",23.4737038304757
"20","금천구",20.4357512253781
"21","금천구",17.8176754813274
"22","금천구",15.3839990147719
"23","금천구",13.9913558310177
"24","금천구",15.5361815613829
"25","금천구",15.8365881269871
"9","노원구",14.4792364323225
"10","노원구",18.0505041878566
"11","노원구",25.1591433689571
"12","노원구",30.8995442451566
"13","노원구",28.8521918928106
"14","노원구",24.1385366869898
"15","노원구",19.732649965403
"16","노원구",21.3258143510109
"17","노원구",25.6693283247986
"18","노원구",24.9662933518547
"19","노원구",21.6773140224152
"20","노원구",19.9042167914408
