"real_data.reg_date","real_data.pick_rgn2_nm","real_data.hour_reg","fit","lwr","upr"
2023-05-08,"강남구","9",182.751210498794,148.061028615491,217.441392382098
2023-05-08,"강동구","9",32.1809080526769,-2.50733681997778,66.8691529253316
2023-05-08,"강북구","9",21.8824451817927,-12.8058375629377,56.5707279265231
2023-05-08,"강서구","9",78.9128298369161,44.2242872039507,113.601372469882
2023-05-08,"관악구","9",110.912043965095,76.2226622137133,145.601425716476
2023-05-08,"광진구","9",28.3568267432322,-6.33118335798728,63.0448368444518
2023-05-08,"구로구","9",27.7796227507796,-6.90860089181374,62.4678463933729
2023-05-08,"금천구","9",19.9820212309372,-14.7062509238901,54.6702933857644
2023-05-08,"노원구","9",31.0233246832088,-3.66453691067324,65.711186277091
2023-05-08,"도봉구","9",5.53243068375275,-29.1559444068237,40.2208057743292
2023-05-08,"동대문구","9",36.9034589605195,2.21540303406177,71.5915148869772
2023-05-08,"동작구","9",30.971068828868,-3.71698753001761,65.6591251877537
2023-05-08,"마포구","9",77.9803618234175,43.2917362402377,112.668987406597
2023-05-08,"서대문구","9",35.7604558931885,1.0719791390481,70.4489326473288
2023-05-08,"서초구","9",65.8542331497346,31.1660979804507,100.542368319018
2023-05-08,"성동구","9",29.8933887043635,-4.7945897130429,64.5813671217699
2023-05-08,"성북구","9",43.2382998895559,8.55029545237105,77.9263043267407
2023-05-08,"송파구","9",107.988390688526,73.2989045409383,142.677876836115
2023-05-08,"양천구","9",31.480408729863,-3.20760934771978,66.1684268074458
2023-05-08,"영등포구","9",66.5301065438563,31.8418984377777,101.218314649935
2023-05-08,"용산구","9",30.8028017577541,-3.88551751090717,65.4911210264154
2023-05-08,"은평구","9",29.1473623503646,-5.54086426986516,63.8355889705944
2023-05-08,"종로구","9",18.148911390805,-16.5395742507726,52.8373970323826
2023-05-08,"중구","9",18.0218222362334,-16.6665160313354,52.7101605038022
2023-05-08,"중랑구","9",16.6474610147144,-18.0407261844898,51.3356482139187
2023-05-08,"강남구","10",370.643152583397,335.955253347867,405.331051818927
2023-05-08,"강동구","10",78.2701888688034,43.5812485577196,112.959129179887
2023-05-08,"강북구","10",51.8786300734371,17.1900117726412,86.567248374233
2023-05-08,"강서구","10",155.360853268404,120.669566466905,190.052140069904
2023-05-08,"관악구","10",200.093699886503,165.401695251272,234.785704521734
2023-05-08,"광진구","10",80.1192955912003,45.4306839675221,114.807907214879
2023-05-08,"구로구","10",71.2193368963889,36.5304004815889,105.908273311189
2023-05-08,"금천구","10",69.212664483848,34.5239950820229,103.901333885673
2023-05-08,"노원구","10",78.2877810106087,43.5992116841697,112.976350337048
2023-05-08,"도봉구","10",34.3470765539254,-0.341399950986819,69.0355530588376
2023-05-08,"동대문구","10",91.6118515220449,56.9231839260032,126.300519118087
2023-05-08,"동작구","10",75.4987193691606,40.8102653396651,110.187173398656
2023-05-08,"마포구","10",169.365621235383,134.676694800767,204.05454767
2023-05-08,"서대문구","10",81.8813700555313,47.1924971520073,116.570242959055
2023-05-08,"서초구","10",160.078833288555,125.390791036984,194.766875540125
2023-05-08,"성동구","10",84.1191127336333,49.430901167496,118.807324299771
2023-05-08,"성북구","10",105.591358677529,70.9024873593195,140.280229995739
2023-05-08,"송파구","10",224.820276822329,190.128622966784,259.511930677874
2023-05-08,"양천구","10",76.5803601649793,41.8916653530182,111.26905497694
2023-05-08,"영등포구","10",183.924151281887,149.236122249135,218.612180314639
2023-05-08,"용산구","10",79.809948874878,45.1213752258006,114.498522523955
2023-05-08,"은평구","10",68.6019803922334,33.9132733435832,103.290687440884
2023-05-08,"종로구","10",56.9523481242298,22.264217616419,91.6404786320407
2023-05-08,"중구","10",67.0469834359484,32.3588402124191,101.735126659478
2023-05-08,"중랑구","10",46.8180634365229,12.1299289561264,81.5061979169194
2023-05-08,"강남구","11",805.23044603402,770.525485015972,839.935407052069
2023-05-08,"강동구","11",172.335714089246,137.645280207162,207.02614797133
2023-05-08,"강북구","11",125.689144677524,90.9991758904042,160.379113464644
2023-05-08,"강서구","11",333.54606332849,298.847389047217,368.244737609764
2023-05-08,"관악구","11",411.216987100928,376.512488033579,445.921486168276
2023-05-08,"광진구","11",192.998802700805,158.308107395898,227.689498005712
2023-05-08,"구로구","11",180.048709756257,145.358466206244,214.73895330627
2023-05-08,"금천구","11",156.107790371524,121.41851372938,190.797067013669
2023-05-08,"노원구","11",212.266656722025,177.574653428836,246.958660015215
2023-05-08,"도봉구","11",84.1913019553006,49.5026309258135,118.879972984788
2023-05-08,"동대문구","11",202.648584929742,167.960170962499,237.336998896985
2023-05-08,"동작구","11",197.368790036042,162.677978291877,232.059601780206
2023-05-08,"마포구","11",382.876930344993,348.186069214016,417.567791475971
2023-05-08,"서대문구","11",191.405715025897,156.716110945465,226.095319106328
2023-05-08,"서초구","11",383.30693650331,348.618308574268,417.995564432352
2023-05-08,"성동구","11",228.130890949669,193.442632567276,262.819149332061
2023-05-08,"성북구","11",246.887428584751,212.1968943725,281.577962797002
2023-05-08,"송파구","11",455.030253861522,420.329653425448,489.730854297596
2023-05-08,"양천구","11",195.582704657241,160.8885158588,230.276893455682
2023-05-08,"영등포구","11",332.013290009193,297.32463262591,366.701947392477
2023-05-08,"용산구","11",176.354311525474,141.666051777664,211.042571273283
2023-05-08,"은평구","11",149.314118920512,114.623197257185,184.005040583839
2023-05-08,"종로구","11",152.727394458978,118.039303604828,187.415485313129
2023-05-08,"중구","11",173.136297922812,138.448160091419,207.824435754204
2023-05-08,"중랑구","11",116.769020354934,82.0801853344074,151.457855375461
