"reg_date","rider_cnt","day_of_reg","rain_c","snow_c","is_rain","is_holiday","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1"
2022-09-19,15959,"월요일",0,0,0,0,17116,15652,15715,15744,268780
2022-09-20,16124,"화요일",0,0,0,0,15711,15962,16682,16255,190822
2022-09-21,15925,"수요일",0,0,0,0,15732,15773,16288,16078,190684
2022-09-22,16020,"목요일",0,0,0,0,16232,16429,16015,16043,222427
2022-09-23,17370,"금요일",3.3,0,1,0,16797,16154,17148,16940,236298
2022-09-24,17660,"토요일",0,0,0,0,12850,18041,18180,17145,193280
2022-09-25,17313,"일요일",0,0,0,0,17445,16867,17437,17101,287021
2022-09-26,16034,"월요일",0,0,0,0,15959,17116,15652,15715,192839
2022-09-27,16376,"화요일",0,0,0,0,16124,15711,15962,16682,191066
2022-09-28,15951,"수요일",0,0,0,0,15925,15732,15773,16288,196978
2022-09-29,16282,"목요일",0,0,0,0,16020,16232,16429,16015,198196
2022-09-30,17353,"금요일",0,0,0,0,14977,17499,17360,17276,225980
2022-10-01,17916,"토요일",0,0,0,0,17660,12850,18041,18180,271132
2022-10-02,16624,"일요일",15.8,0,1,0,15673,15723,16729,16511,254503
2022-10-03,15089,"월요일",76,0,1,1,12321,15713,15931,16824,184458
2022-10-04,16099,"화요일",11.8,0,1,0,16187,13978,16185,11416,207001
2022-10-05,16090,"수요일",0.1,0,1,0,15597,15518,16172,13515,234819
2022-10-06,16326,"목요일",0,0,0,0,16282,16020,16232,16429,214463
2022-10-07,17414,"금요일",0,0,0,0,17353,14977,17499,17360,225551
2022-10-08,17506,"토요일",0,0,0,0,17916,17660,12850,18041,287757
2022-10-09,15162,"일요일",20.4,0,1,1,16624,15673,15723,16729,273452
2022-10-10,17535,"월요일",0,0,0,1,16034,15959,17116,15652,194513
2022-10-11,15850,"화요일",0,0,0,0,16376,16124,15711,15962,201722
2022-10-12,15777,"수요일",0,0,0,0,15951,15925,15732,15773,206675
2022-10-13,16027,"목요일",0,0,0,0,16326,16282,16020,16232,206095
2022-10-14,17287,"금요일",0,0,0,0,17414,17353,14977,17499,230917
2022-10-15,17768,"토요일",0,0,0,0,17506,17916,17660,12850,266577
2022-10-16,17402,"일요일",0,0,0,0,17313,17445,16867,17437,285235
2022-10-17,15931,"월요일",0,0,0,0,17535,16034,15959,17116,280668
2022-10-18,16368,"화요일",0,0,0,0,15850,16376,16124,15711,192911
2022-10-19,15910,"수요일",0,0,0,0,15777,15951,15925,15732,200656
2022-10-20,16254,"목요일",0,0,0,0,16027,16326,16282,16020,202809
2022-10-21,17455,"금요일",0,0,0,0,17287,17414,17353,14977,229846
2022-10-22,17477,"토요일",0,0,0,0,17768,17506,17916,17660,277283
2022-10-23,17324,"일요일",0,0,0,0,17402,17313,17445,16867,286613
2022-10-24,15839,"월요일",0,0,0,0,15931,17535,16034,15959,199681
2022-10-25,16153,"화요일",0,0,0,0,16368,15850,16376,16124,208252
2022-10-26,15827,"수요일",0,0,0,0,15910,15777,15951,15925,212446
2022-10-27,15743,"목요일",0,0,0,0,16254,16027,16326,16282,213722
2022-10-28,17036,"금요일",0,0,0,0,17455,17287,17414,17353,241723
2022-10-29,17286,"토요일",0,0,0,0,17477,17768,17506,17916,275781
2022-10-30,16728,"일요일",0,0,0,0,17324,17402,17313,17445,288855
2022-10-31,15553,"월요일",0,0,0,0,15839,15931,17535,16034,202797
2022-11-01,16070,"화요일",0,0,0,0,16153,16368,15850,16376,203331
2022-11-02,15581,"수요일",0,0,0,0,15827,15910,15777,15951,205657
2022-11-03,15868,"목요일",0,0,0,0,15743,16254,16027,16326,204301
2022-11-04,17031,"금요일",0,0,0,0,17036,17455,17287,17414,230720
2022-11-05,17361,"토요일",0,0,0,0,17286,17477,17768,17506,271122
2022-11-06,17055,"일요일",0,0,0,0,16728,17324,17402,17313,284148
2022-11-07,15392,"월요일",0,0,0,0,15553,15839,15931,17535,194874
2022-11-08,15883,"화요일",0,0,0,0,16070,16153,16368,15850,198400
2022-11-09,15501,"수요일",0,0,0,0,15581,15827,15910,15777,199684
2022-11-10,15792,"목요일",0,0,0,0,15868,15743,16254,16027,205740
2022-11-11,16952,"금요일",0,0,0,0,17031,17036,17455,17287,235734
2022-11-12,16615,"토요일",57.9,0,1,0,17924,17402,16688,17090,281838
2022-11-13,16871,"일요일",0,0,0,0,17055,16728,17324,17402,276868
2022-11-14,15342,"월요일",0,0,0,0,15392,15553,15839,15931,195506
2022-11-15,15861,"화요일",1.6,0,1,0,16099,16187,13978,16185,195041
2022-11-16,15532,"수요일",0,0,0,0,15501,15581,15827,15910,201275
2022-11-17,16119,"목요일",0,0,0,0,15792,15868,15743,16254,204287
2022-11-18,16953,"금요일",0,0,0,0,16952,17031,17036,17455,226843
2022-11-19,17468,"토요일",0,0,0,0,17361,17286,17477,17768,272607
2022-11-20,17030,"일요일",0,0,0,0,16871,17055,16728,17324,278965
2022-11-21,15682,"월요일",0,0,0,0,15342,15392,15553,15839,193648
2022-11-22,15622,"화요일",0,0,0,0,15883,16070,16153,16368,196157
2022-11-23,15793,"수요일",0,0,0,0,15532,15501,15581,15827,206429
2022-11-24,18462,"목요일",0,0,0,0,16119,15792,15868,15743,216816
2022-11-25,16811,"금요일",1.7,0,1,0,17370,16797,16154,17148,232716
2022-11-26,17550,"토요일",0,0,0,0,17468,17361,17286,17477,275530
2022-11-27,17292,"일요일",0,0,0,0,17030,16871,17055,16728,278424
2022-11-28,16726,"월요일",19.5,0,1,0,15089,12321,15713,15931,295044
2022-11-29,15381,"화요일",3.8,0,1,0,15861,16099,16187,13978,201608
2022-11-30,15574,"수요일",0,0,0,0,15793,15532,15501,15581,206490
2022-12-01,16007,"목요일",0,0,0,0,18462,16119,15792,15868,240606
2022-12-02,19098,"금요일",0,0,0,0,16953,16952,17031,17036,232307
2022-12-03,17321,"토요일",1.1,1,1,0,16615,17924,17402,16688,264894
2022-12-04,17259,"일요일",0,0,0,0,17292,17030,16871,17055,290423
2022-12-05,16053,"월요일",0,0,0,0,15682,15342,15392,15553,200396
2022-12-06,15967,"화요일",0.1,0.3,1,0,15381,15861,16099,16187,200271
2022-12-07,16030,"수요일",0.1,0,1,0,16090,15597,15518,16172,201106
2022-12-08,16073,"목요일",0,0,0,0,16007,18462,16119,15792,225532
2022-12-09,17449,"금요일",0,0,0,0,19098,16953,16952,17031,283505
2022-12-10,17963,"토요일",0,0,0,0,17550,17468,17361,17286,280104
2022-12-11,17643,"일요일",0,0,0,0,17259,17292,17030,16871,296673
2022-12-12,15550,"월요일",5.4,0,1,0,16726,15089,12321,15713,242052
2022-12-13,15623,"화요일",0.6,0.8,1,0,15967,15381,15861,16099,215218
2022-12-14,15742,"수요일",0,0.5,1,0,16030,16090,15597,15518,213701
2022-12-15,12934,"목요일",2.4,4.5,1,0,15932,15947,16056,16208,194813
2022-12-16,14747,"금요일",0,4.1,1,0,16811,17370,16797,16154,229478
2022-12-17,16013,"토요일",0.2,1.9,1,0,17321,16615,17924,17402,283359
2022-12-18,16544,"일요일",0,1.5,1,0,15162,16624,15673,15723,281339
2022-12-19,16349,"월요일",0,1.4,1,0,15550,16726,15089,12321,203132
2022-12-20,16953,"화요일",0,1.1,1,0,15623,15967,15381,15861,203403
2022-12-21,14085,"수요일",3.6,3.5,1,0,15742,16030,16090,15597,232655
2022-12-22,14693,"목요일",0,1.9,1,0,12934,15932,15947,16056,163537
2022-12-23,15899,"금요일",0,1.8,1,0,14747,16811,17370,16797,220071
2022-12-24,18304,"토요일",0,1.7,1,0,16013,17321,16615,17924,259390
2022-12-25,17935,"일요일",0,1.6,1,1,16544,15162,16624,15673,281657
2022-12-26,15970,"월요일",0,1.2,1,0,16349,15550,16726,15089,221122
2022-12-27,16290,"화요일",0,0.3,1,0,16953,15623,15967,15381,206781
2022-12-28,15333,"수요일",0.1,0.4,1,0,14085,15742,16030,16090,197790
2022-12-29,15694,"목요일",0,0,0,0,16073,16007,18462,16119,216513
2022-12-30,16790,"금요일",0,0,0,0,17449,19098,16953,16952,257659
2022-12-31,17360,"토요일",0,0,0,0,17963,17550,17468,17361,303717
2023-01-01,16296,"일요일",0,0,0,1,17643,17259,17292,17030,309477
2023-01-02,15991,"월요일",0,0,0,0,16053,15682,15342,15392,214865
2023-01-03,16670,"화요일",0,0,0,0,15622,15883,16070,16153,202944
2023-01-04,16195,"수요일",0,0,0,0,15574,15793,15532,15501,221726
2023-01-05,16608,"목요일",0,0,0,0,15694,16073,16007,18462,220553
2023-01-06,17547,"금요일",3.9,3.6,1,0,15899,14747,16811,17370,216542
2023-01-07,17396,"토요일",0.1,3.6,1,0,18304,16013,17321,16615,296387
2023-01-08,17586,"일요일",0,0,0,0,16296,17643,17259,17292,283312
2023-01-09,16277,"월요일",0,0,0,0,15991,16053,15682,15342,209102
2023-01-10,16641,"화요일",0,0,0,0,16670,15622,15883,16070,216471
