feature,perm_importance_train,perm_importance_test
rain_group_very_strong,0.1205846625380678,0.007712166112851615
order_cnt_w_1,0.09751840011937644,0.0042308858557218885
rider_cnt_w_2,0.09203698453356117,0.012483314497782727
rider_cnt_w_3,0.0771165210834571,0.01815455725911943
rider_cnt_w_1,0.07067976245042781,0.023307734744255227
rider_cnt_w_4,0.042772641636279876,0.008699404133835853
group_s_B,0.0166457648589458,-0.0028707385879163105
rain_group_no,0.013183157323253081,-0.004447973447467901
day_of_reg_토요일,0.004200536619504591,0.0010843867180717615
holiday_yn_N,0.004066879162597204,0.005521828421741715
day_of_reg_화요일,0.001880548278777905,0.0006345301331338371
day_of_reg_금요일,0.0012763897879379594,-1.0615086265852725e-05
is_rain_0,0.0011642286173374039,-0.0012285329229291485
day_of_reg_수요일,0.0005565483308663133,0.0005635717475932722
group_s_G,0.00041329833599235144,0.0007382956533932949
group_s_A,0.0003523013598358382,-0.0011497606508528379
day_of_reg_일요일,0.0003311399873914933,0.00014392518903632022
rain_group_normal,0.0,0.0
day_of_reg_목요일,0.0,0.0
holiday_yn_Y,0.0,0.0
rain_group_weak,0.0,0.0
is_rain_1,0.0,0.0
group_s_C,0.0,0.0
group_s_D,0.0,0.0
group_s_H,0.0,0.0
day_of_reg_월요일,0.0,0.0
rain_group_strong,0.0,0.0
